@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %05s "WHOLP"
@ PARTICLE         %08s "ELECTRON"
@ MASS             %le   5.109989500e-04
@ CHARGE           %le  -1.000000000e+00
@ ENERGY           %le   5.100000000e-01
@ PC               %le   5.099997440e-01
@ GAMMA            %le   9.980451036e+02
@ KBUNCH           %le   1.000000000e+00
@ BCURRENT         %le   4.921883050e-13
@ SIGE             %le   1.000000000e-03
@ SIGT             %le   1.000000000e+00
@ NPART            %le   1.000000000e+00
@ EX               %le   1.000000000e+00
@ EY               %le   1.000000000e+00
@ ET               %le   1.000000000e-03
@ BV_FLAG          %le   1.000000000e+00
@ LENGTH           %le   9.758866355e+01
@ ALFA             %le   1.882639370e-02
@ ORBIT5           %le   8.132392712e-03
@ GAMMATR          %le   7.288135388e+00
@ Q1               %le   5.088785226e+00
@ Q2               %le   5.145485632e+00
@ DQ1              %le  -6.890779986e-01
@ DQ2              %le  -7.244317985e-01
@ DXMAX            %le   2.177506738e+00
@ DYMAX            %le  -0.000000000e+00
@ XCOMAX           %le   7.734571426e-14
@ YCOMAX           %le   0.000000000e+00
@ BETXMAX          %le   2.021377269e+01
@ BETYMAX          %le   1.971040762e+01
@ XCORMS           %le   4.080418597e-14
@ YCORMS           %le   0.000000000e+00
@ DXRMS            %le   1.081822313e+00
@ DYRMS            %le   0.000000000e+00
@ DELTAP           %le   0.000000000e+00
@ SYNCH_1          %le   1.837826544e+00
@ SYNCH_2          %le   9.318292367e+00
@ SYNCH_3          %le   7.624727299e+00
@ SYNCH_4          %le   1.471756523e-01
@ SYNCH_5          %le   7.469341954e+00
@ SYNCH_6          %le   3.978197700e+02
@ SYNCH_8          %le   4.364184489e+01
@ DQMIN            %le   0.000000000e+00
@ DQMIN_PHASE      %le   0.000000000e+00
@ TITLE            %01s "s"
@ ORIGIN           %16s "5.09.01 Linux 64"
@ DATE             %08s "13/06/24"
@ TIME             %08s "18.28.23"
* NAME                              S             BETX             BETY               DX               DY              DDX              DDY             ALFX             ALFY              MUX              MUY 
$ %s                              %le              %le              %le              %le              %le              %le              %le              %le              %le              %le              %le 
 "QUAPL103A"          5.014000000e+00  2.195182106e+00  7.203562025e+00 -6.657216475e-03  0.000000000e+00 -3.766466368e+01  0.000000000e+00 -4.729004457e-01  1.510500022e+00  2.495933162e-01  2.001147174e-01
 "KCKPL101"           5.014000000e+00  2.195182106e+00  7.203562025e+00 -6.657216475e-03  0.000000000e+00 -3.766466368e+01  0.000000000e+00 -4.729004457e-01  1.510500022e+00  2.495933162e-01  2.001147174e-01
 "QUAPL103B"          5.103000000e+00  2.276298934e+00  6.961664015e+00  1.832219553e-02  0.000000000e+00 -3.950250718e+01  0.000000000e+00 -4.375152096e-01  1.210463861e+00  2.559281385e-01  2.021161078e-01
 "LL7_1"              5.183000000e+00  2.349651140e+00  6.770256127e+00  4.076067437e-02  0.000000000e+00 -4.109641233e+01  0.000000000e+00 -4.793873746e-01  1.182134741e+00  2.614346991e-01  2.039707531e-01
 "LL7"                5.648000000e+00  2.908654010e+00  5.747439120e+00  1.711843326e-01  0.000000000e+00 -5.036098596e+01  0.000000000e+00 -7.227693341e-01  1.017471726e+00  2.898951936e-01  2.158458287e-01
 "QUAPL104"           5.798000000e+00  2.927019506e+00  5.849879664e+00  2.067765026e-01  0.000000000e+00 -5.154649387e+01  0.000000000e+00  6.032183878e-01 -1.716354427e+00  2.979849177e-01  2.200119537e-01
 "QUAPL104"           5.948000000e+00  2.563466000e+00  6.826251261e+00  2.279020639e-01  0.000000000e+00 -4.911129662e+01  0.000000000e+00  1.763347962e+00 -4.944770054e+00  3.066026138e-01  2.238346563e-01
 "LL5A"               6.205000000e+00  1.762985818e+00  9.614117796e+00  2.507044904e-01  0.000000000e+00 -4.189790493e+01  0.000000000e+00  1.351360917e+00 -5.902959655e+00  3.258902331e-01  2.288845272e-01
 "BPBPL102"           6.205000000e+00  1.762985818e+00  9.614117796e+00  2.507044904e-01  0.000000000e+00 -4.189790493e+01  0.000000000e+00  1.351360917e+00 -5.902959655e+00  3.258902331e-01  2.288845272e-01
 "LL5B"               6.272000000e+00  1.589099602e+00  1.042185102e+01  2.566490919e-01  0.000000000e+00 -4.001737092e+01  0.000000000e+00  1.243955735e+00 -6.152760057e+00  3.322627503e-01  2.299498250e-01
